rid,fcid,service,date
R0390,8110050068,psfua3,2024-09-05
R0557,8110080025,psfua3,2024-09-04
R0797,8110080023,psfua3,2024-09-05
R0911,8110080026,psfua3,2024-09-05
R1246,8110020131,psfua3,2024-09-05
R0799,8110080024,psfua3,2024-08-27
R1284,8110110020,psfua3,2024-08-27
R1225,8110110021,psfua3,2024-08-28
R0327,8110020095,psfua3,2024-08-28
R0062,8110100022,psfua3,2024-08-29
R0864,8110050105,psfua3,2024-08-29
R0714,8110100012,psfua3,2024-09-12
R1346,8110080029,psfua3,2024-09-12
R0678,8110080020,psfua3,2024-08-19
R0882,8110110011,psfua3,2024-08-21
R0798,8110080028,psfua3,2024-08-23
R0718,8110100005,psfua3,2024-08-19
R1130,8110020130,psfua3,2024-08-19
R0896,8110020128,psfua3,2024-08-20
R0905,8110050104,psfua3,2024-08-23
R0326,8110020129,psfua3,2024-08-27
R1253,8110020132,psfua3,2024-08-27
R0478,8110080010,psfua3,2024-08-28
R0869,8110080021,psfua3,2024-09-10
