rid,fcid,service,date
R0575,8110080017,psfua6,2024-07-31
R0239,8110080018,psfua6,2024-07-22
R0590,8110080012,psfua6,2024-07-16
R0801,8110080019,psfua6,2024-07-16
R0870,8110110009,psfua6,2024-07-23
R0874,8110020127,psfua6,2024-07-22
R0505,8110050102,psfua6,2024-07-19
R0431,8110020118,psfua6,2024-07-25
R0585,8110050100,psfua6,2024-07-25
R0510,8110050090,psfua6,2024-07-24
R0589,8110110006,psfua6,2024-07-29
R0231,8110050051,psfua6,2024-07-18
R0587,8110080015,psfua6,2024-07-17
R0716,8110080013,psfua6,2024-07-17
R0593,8110080009,psfua6,2024-07-25
R0459,8110080003,psfua6,2024-07-22
R0458,8110050076,psfua6,2024-07-22
R0715,8110110008,psfua6,2024-07-22
R0872,8110080016,psfua6,2024-07-12
R1023,8110050107,psfua6,2024-07-16
R0638,8110020121,psfua6,2024-07-12
R0626,8110110003,psfua6,2024-07-12
R0860,8110050101,psfua6,2024-07-25
R0794,8110110007,psfua6,2024-07-17
R1024,8110050106,psfua6,2024-07-17
