test_live,enumerator_name,location,interview_format,gender,age_range,consent,qual_life1,qual_life8,qual_life9,qual_life12,qual_life13,qual_life14,qual_life23,concept1,qual_life24,qual_life25,qual_life2,qual_life3,qual_life4,qual_life10,qual_life15,qual_life16,qual_life17,qual_life18,qual_life5,qual_life6,qual_life7,qual_life11,qual_life19,qual_life26,ptsd1,ptsd2,ptsd3,ptsd4,ptsd5,ptsd6,ptsd7,ptsd8,concept2,concept3,concept4,concept5,concept6,relative_support1,relative_support2,relative_support3,network_size,network_change,social_support1,social_support2,social_support3,social_acceptance,stigma1,stigma2,stigma_concept,trust_others,co_creation1,co_creation2,co_creation3,co_creation4,steering_committee,rapport1,rapport2,rapport3,security1,satisfied,physical_wellbeing,mental_wellbeing,financial_situation,family_wellbeing,recognition,justice,recognition_justice,dignity,sustainability
2,1,1,1,1,4,1,3,3,5,3,2,3,4,5,4,4,4,2,1,5,5,3,4,2,3,999,4,3,4,2,0,0,0,2,0,2,0,2,2,3,1,1,2,0,,,3.0,2,3.0,4,1,1,2,2,1,5,5,3,3,2,4,0,2,2,0,2,1,2,3,1,5,2,3,3,0
2,3,3,1,1,3,1,4,3,3,4,3,3,4,4,4,4,4,3,2,3,5,2,4,4,3,3,5,4,4,1,2,2,0,2,2,2,2,2,4,2,1,1,3,2,5.0,5.0,2.0,3,,2,3,4,1,3,3,2,3,4,4,0,777,1,2,2,0,2,3,4,3,3,4,3,4,5,2
2,2,2,1,1,3,1,4,4,3,2,5,3,3,4,3,3,4,3,2,5,5,3,3,4,3,3,5,4,4,3,2,0,2,2,2,2,2,2,3,4,2,2,3,2,3.0,2.0,4.0,2,3.0,5,2,1,1,2,2,2,4,5,5,2,4,1,2,2,0,2,3,3,3,3,4,3,3,2,1
2,1,1,1,1,3,1,4,2,2,3,3,3,3,5,3,5,3,5,4,5,4,4,4,3,3,5,3,5,4,2,0,0,0,2,2,0,0,0,5,5,3,5,5,2,3.0,5.0,3.0,2,3.0,2,3,1,4,4,2,1,5,4,4,2,777,0,2,2,2,2,3,4,3,3,5,4,3,4,0
2,3,3,1,2,3,1,4,3,3,3,3,1,4,5,4,4,4,2,2,2,5,4,4,4,2,4,3,3,4,1,2,0,0,0,0,0,0,0,1,3,3,2,2,2,5.0,4.0,3.0,3,,4,3,3,2,5,3,3,5,4,3,2,777,0,2,2,0,2,1,4,3,1,4,3,3,3,2
2,4,4,1,2,3,1,2,1,3,1,3,2,2,5,4,2,4,4,2,4,2,4,4,4,2,4,3,3,4,3,2,2,2,0,2,0,2,0,5,5,4,3,4,0,,,5.0,3,2.0,2,2,5,1,1,4,4,5,5,5,2,4,2,2,2,0,2,5,5,3,3,4,5,5,4,2
2,3,3,1,1,4,1,3,2,2,2,4,1,2,5,3,4,2,5,3,2,2,2,2,4,2,1,2,2,2,3,2,2,2,0,0,2,2,2,5,5,4,4,4,2,3.0,4.0,2.0,2,2.0,2,2,3,3,3,3,2,3,4,3,2,777,2,2,2,0,2,3,4,4,2,4,2,4,4,0
2,2,2,1,2,3,1,1,1,1,1,2,1,1,4,4,4,1,5,4,1,3,1,1,1,1,1,1,3,3,5,2,2,2,2,2,2,2,2,3,4,3,4,4,2,2.0,5.0,4.0,3,4.0,4,3,4,2,2,3,2,4,4,3,2,4,1,2,2,0,2,4,4,3,1,4,3,4,4,2
2,2,2,1,2,4,1,3,1,3,2,2,1,3,4,4,3,4,4,4,2,3,2,3,4,1,3,4,3,4,4,2,2,2,2,2,2,2,2,3,3,3,4,4,2,3.0,4.0,3.0,2,2.0,4,1,3,2,3,1,1,2,888,1,2,777,0,2,2,0,2,4,3,3,1,3,3,4,3,1
2,1,1,1,2,3,1,4,5,3,3,2,3,4,5,3,2,3,2,2,4,5,3,4,4,3,3,1,4,4,1,2,0,2,2,2,2,2,2,5,1,4,4,1,2,3.0,3.0,2.0,2,3.0,4,3,2,2,1,4,3,5,5,5,2,777,0,2,1,0,2,1,5,3,3,4,3,3,3,1
2,4,4,1,1,3,1,2,1,3,3,2,1,1,5,3,2,2,5,5,1,2,1,2,2,4,3,2,5,2,2,2,0,2,0,0,2,2,2,4,4,4,4,4,2,2.0,2.0,3.0,3,4.0,4,3,5,2,1,4,4,2,4,2,2,5,2,2,2,0,2,3,5,5,2,4,5,4,4,2
1,2,2,1,2,3,1,2,1,4,2,2,1,4,3,3,1,1,2,4,1,3,2,4,3,3,3,1,999,4,5,2,0,2,2,2,2,2,0,1,4,5,3,4,0,,,3.0,3,4.0,5,888,3,1,1,1,4,5,888,1,2,5,0,2,2,2,2,1,3,3,1,3,2,3,3,0
2,2,2,1,2,3,1,4,3,3,3,4,2,4,5,4,4,4,2,1,3,5,4,3,4,3,4,4,4,4,2,0,0,0,0,0,2,0,0,3,2,1,3,3,2,2.0,3.0,5.0,3,2.0,4,3,3,2,2,4,2,4,888,3,2,2,1,2,2,1,2,1,3,3,3,3,3,3,3,1
2,2,2,1,2,3,1,1,3,3,1,3,2,3,4,2,1,4,1,1,3,5,3,4,4,3,4,3,3,4,3,2,0,2,2,2,2,2,2,3,4,2,3,3,2,4.0,5.0,3.0,3,,3,1,4,4,2,4,2,4,4,4,2,5,2,2,2,0,2,1,4,3,2,4,4,3,3,1
2,3,3,1,1,3,1,4,3,3,3,4,2,3,5,3,4,3,3,2,3,1,1,4,4,2,2,3,3,3,3,2,2,0,2,2,2,2,0,3,3,3,3,3,2,5.0,3.0,3.0,3,,4,3,3,2,2,2,2,5,4,2,1,777,1,2,2,0,1,3,3,3,4,4,3,4,4,1
2,2,2,1,2,3,1,3,2,3,2,3,3,3,4,4,3,4,2,2,3,3,4,4,4,3,3,2,3,4,2,0,0,0,2,2,2,2,0,2,2,3,3,3,2,3.0,4.0,3.0,2,3.0,2,3,3,1,2,3,2,3,3,3,2,777,1,2,2,0,1,3,3,3,1,3,3,4,3,1
2,4,4,1,1,3,1,3,2,4,4,4,3,2,5,4,4,4,1,1,3,5,4,4,4,3,1,4,5,3,2,0,0,2,0,2,0,2,0,2,5,2,2,4,2,2.0,4.0,2.0,2,3.0,4,2,2,1,1,1,3,3,5,2,2,3,2,2,2,0,1,1,3,3,2,3,1,3,888,0
2,4,4,1,1,3,1,4,3,5,3,3,1,4,4,1,2,4,2,4,5,5,2,5,5,5,5,5,5,5,1,0,0,0,2,2,0,0,0,2,4,2,3,4,2,2.0,4.0,2.0,3,,2,1,5,1,3,4,4,5,5,5,2,5,2,2,2,0,2,4,5,3,2,3,3,4,4,2
2,1,1,1,2,3,1,3,3,5,1,4,3,4,5,4,1,3,3,5,4,3,4,3,3,3,4,1,3,3,4,2,2,2,2,2,2,2,2,5,5,3,4,4,2,3.0,5.0,2.0,3,2.0,1,1,1,3,2,4,5,5,4,5,2,4,0,2,2,1,2,3,3,3,1,2,2,3,4,0
2,3,3,1,1,3,1,3,2,3,2,3,2,3,5,2,4,4,2,4,2,4,2,2,2,2,5,4,5,4,4,2,0,2,2,2,0,0,2,4,4,4,1,4,2,3.0,1.0,2.0,2,3.0,4,3,3,3,3,3,5,4,4,2,2,777,0,2,2,0,2,3,4,3,1,3,5,3,3,0
2,2,2,1,2,4,1,4,2,3,2,3,2,3,4,1,1,3,3,2,3,3,4,4,4,2,3,4,4,5,2,2,0,2,2,2,2,2,2,3,4,4,4,4,2,4.0,5.0,4.0,3,2.0,4,4,4,2,2,4,2,4,888,888,2,777,2,2,2,0,2,4,4,3,2,4,2,4,4,2
2,3,3,1,2,3,1,3,2,3,2,2,2,4,4,4,4,2,2,3,1,3,2,4,4,2,2,3,4,4,3,2,0,2,0,2,0,2,2,4,4,3,3,3,2,3.0,4.0,3.0,3,3.0,4,3,3,1,2,3,3,4,3,1,0,777,1,2,2,0,2,1,4,4,4,4,4,4,4,2
2,4,4,1,1,3,1,5,4,5,3,3,5,5,5,5,5,3,3,4,4,2,5,3,3,4,3,5,5,5,1,2,2,2,2,0,2,0,0,3,3,3,2,3,2,3.0,3.0,4.0,3,3.0,5,2,4,2,2,3,3,5,4,2,2,4,2,2,2,0,2,3,3,3,3,4,4,5,2,2
2,3,3,1,1,3,1,4,3,2,2,4,3,4,5,4,4,5,3,2,4,4,4,4,4,3,5,5,5,5,2,2,2,0,0,0,2,2,0,3,4,1,1,3,2,3.0,4.0,3.0,3,3.0,4,3,3,2,2,3,3,5,4,5,2,777,2,2,2,0,2,4,5,5,3,4,5,4,3,1
2,4,4,1,2,3,1,3,2,3,2,2,2,2,5,4,2,4,2,2,4,4,4,4,4,2,4,2,4,4,4,2,0,2,0,2,2,2,0,2,4,2,2,4,2,3.0,3.0,3.0,2,4.0,4,2,4,2,1,1,5,5,4,2,2,3,2,2,2,0,2,2,5,4,2,4,2,3,4,2
2,3,3,1,1,3,1,5,3,4,3,4,2,4,5,4,4,4,2,2,4,4,5,4,4,2,5,5,5,5,1,2,0,2,0,0,0,2,0,2,4,1,3,2,2,4.0,4.0,4.0,3,4.0,4,3,4,4,2,4,2,5,5,5,2,777,2,2,2,0,2,3,5,3,3,3,3,3,4,2
2,2,2,1,2,3,1,3,1,2,2,3,1,1,4,4,3,2,5,4,2,3,1,3,4,3,3,2,2,4,4,999,0,2,2,0,2,2,2,5,3,4,5,4,2,3.0,4.0,2.0,3,,3,2,2,1,2,4,1,3,888,3,2,3,0,2,2,0,1,3,4,3,1,3,3,4,4,1
2,2,2,1,2,3,1,4,2,3,3,3,2,3,5,3,2,2,3,3,3,3,3,4,4,2,2,4,3,2,3,2,2,2,2,2,2,2,888,5,5,2,2,3,2,3.0,3.0,4.0,3,888.0,4,2,3,888,888,3,3,4,888,3,2,777,1,2,2,0,1,1,3,3,888,3,3,4,3,1
2,4,4,2,2,3,1,3,2,3,2,4,2,1,4,3,2,4,3,3,2,4,4,4,3,3,4,3,5,5,2,2,2,2,0,0,2,2,2,5,3,2,2,4,2,2.0,4.0,3.0,3,2.0,4,3,3,2,1,3,3,4,5,4,2,3,2,2,2,0,2,3,4,3,2,4,4,4,4,2
2,4,4,1,1,3,1,3,4,3,3,3,1,3,5,4,4,4,2,1,5,5,2,3,2,3,2,3,4,4,3,0,2,2,2,2,2,2,2,5,5,4,4,4,2,2.0,2.0,2.0,2,3.0,4,1,2,2,3,1,2,4,4,4,2,3,2,2,2,0,2,2,5,2,1,5,1,2,1,0
2,3,3,1,1,3,1,4,2,2,4,3,2,3,4,4,4,4,3,4,4,5,5,5,4,5,4,5,5,5,2,0,0,0,2,2,0,0,0,2,3,3,4,2,2,5.0,3.0,5.0,3,4.0,5,3,5,2,2,2,3,5,5,2,0,777,2,2,2,0,2,4,4,2,1,3,4,5,4,2
2,2,2,2,1,3,1,4,2,3,3,2,2,3,2,4,4,2,4,2,3,4,4,4,4,2,2,2,3,4,3,0,0,0,0,0,0,2,0,3,4,3,2,4,2,3.0,3.0,3.0,2,2.0,4,2,888,2,2,1,2,3,888,888,2,777,1,2,2,0,2,3,3,3,2,4,3,3,3,1
2,3,3,1,1,4,1,4,4,4,4,4,3,5,5,5,4,5,2,2,5,5,5,5,4,5,5,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,1,1,2,5.0,5.0,5.0,2,3.0,5,5,3,1,1,4,4,5,888,1,2,777,0,2,2,0,2,1,4,3,1,4,1,2,3,0
2,1,1,1,1,4,1,3,3,4,2,2,3,4,4,4,3,3,4,4,5,4,5,3,3,4,3,4,5,4,4,2,2,2,0,0,888,2,0,5,3,1,1,1,2,3.0,3.0,4.0,2,3.0,4,1,1,3,4,4,5,5,3,3,2,777,0,2,2,0,2,3,5,3,1,4,4,888,3,0
2,3,3,1,1,3,1,5,3,5,4,5,4,4,5,4,5,5,5,1,5,5,5,4,5,5,3,2,4,4,2,2,2,2,2,2,2,2,2,5,4,3,2,3,2,4.0,5.0,3.0,3,2.0,2,3,3,2,2,3,2,4,3,5,0,777,2,2,2,0,2,5,5,4,5,4,4,3,5,2
2,1,1,1,2,4,1,2,3,4,2,3,1,4,5,2,4,2,5,5,3,3,1,2,1,2,5,3,3,2,4,2,2,2,2,2,2,2,2,4,4,4,4,4,0,,,3.0,2,2.0,2,1,3,5,1,4,5,5,3,3,2,3,0,2,2,1,2,1,5,3,1,4,4,3,2,0
2,1,1,1,2,3,1,2,3,3,2,3,2,3,5,3,4,2,4,4,1,3,2,2,3,1,1,3,1,1,4,2,2,2,2,2,2,2,2,4,5,4,4,4,0,,,3.0,2,3.0,1,1,5,2,2,3,5,5,3,2,2,4,0,2,2,0,2,4,5,3,1,5,4,3,3,0
2,4,4,1,2,3,1,3,2,3,2,3,3,2,5,3,2,2,3,4,3,4,2,3,3,3,4,3,5,4,3,2,2,2,2,2,0,0,0,2,4,3,3,4,2,2.0,2.0,4.0,2,,2,2,4,2,1,1,2,4,3,4,2,4,2,2,2,2,2,3,5,5,5,3,3,3,3,2
2,3,3,1,2,3,1,4,3,3,3,3,2,4,5,3,2,3,2,1,3,4,2,4,4,3,4,2,3,4,2,2,2,2,2,0,2,0,0,3,2,1,1,3,2,3.0,4.0,3.0,3,3.0,4,3,4,1,3,3,2,4,4,2,2,777,2,2,2,0,2,1,4,4,4,4,3,3,4,1
2,2,2,2,1,4,1,4,4,3,1,2,3,4,4,4,2,4,1,2,4,4,3,4,2,4,4,4,4,5,1,0,0,0,0,0,0,0,0,1,1,1,4,3,0,,,5.0,2,3.0,4,1,1,1,2,1,2,3,888,1,2,777,2,2,2,0,1,1,3,2,1,2,2,4,1,0
2,3,3,1,2,3,1,5,4,4,3,3,1,4,5,4,3,4,2,1,4,3,5,5,5,4,3,4,4,5,2,0,0,0,0,0,0,2,0,2,2,2,2,2,2,4.0,4.0,4.0,3,4.0,4,3,4,1,2,4,4,5,4,4,2,777,2,2,2,0,2,5,4,4,4,3,3,3,3,2
2,2,2,2,2,3,1,2,2,3,2,2,2,2,3,888,4,2,4,3,2,3,2,2,2,1,2,2,1,2,4,2,0,2,2,0,2,2,2,3,4,4,4,5,0,,,2.0,2,,2,1,4,4,4,3,1,4,5,3,2,777,2,2,2,0,1,1,2,2,1,4,3,4,4,0
2,2,2,1,2,3,1,4,4,4,4,4,3,4,5,4,3,3,3,2,3,5,1,2,4,3,4,3,4,3,3,0,0,0,0,0,0,2,0,4,4,2,1,2,2,3.0,5.0,4.0,3,2.0,4,1,4,2,3,4,2,4,888,1,2,777,0,2,2,0,2,3,4,3,3,3,3,4,4,2
2,3,3,1,1,3,1,4,3,5,3,4,4,3,5,4,4,4,1,2,4,5,5,4,4,3,5,4,3,4,2,0,0,0,0,0,0,0,0,1,5,1,1,4,2,4.0,5.0,4.0,3,3.0,4,3,3,2,2,2,5,5,5,2,1,777,0,2,2,0,2,1,4,5,3,5,3,4,4,1
2,2,2,1,1,3,1,4,3,4,2,4,2,4,5,4,4,5,1,1,5,5,3,4,5,3,3,5,5,5,3,0,0,0,0,0,0,0,0,1,3,1,3,4,2,2.0,3.0,2.0,3,3.0,2,1,3,2,1,3,4,4,4,4,2,4,2,2,2,0,1,2,3,2,2,3,3,3,3,0
2,3,3,1,1,3,1,4,3,4,4,2,1,4,4,1,4,5,3,3,3,5,2,4,4,1,3,3,5,5,3,2,2,2,2,0,2,0,2,5,4,4,1,1,2,4.0,4.0,4.0,3,2.0,3,3,4,3,1,3,1,5,5,4,2,3,2,2,2,0,2,1,4,5,4,5,5,4,5,2
2,4,4,1,1,4,1,2,2,3,2,2,2,2,5,4,3,2,3,4,3,5,2,4,4,2,4,3,5,5,3,2,2,2,0,2,2,2,2,4,4,2,2,4,2,1.0,4.0,4.0,2,3.0,5,3,3,2,2,2,5,3,4,4,2,777,2,2,2,0,2,1,4,4,2,4,3,5,2,0
2,3,3,2,1,3,1,4,3,3,3,4,1,4,5,5,4,2,5,2,3,5,4,4,3,2,2,2,3,4,2,2,2,2,2,2,2,2,0,5,5,5,2,3,2,5.0,4.0,2.0,2,3.0,4,3,5,2,5,4,4,5,5,2,2,777,2,2,2,0,2,1,4,4,3,3,3,3,3,2
2,3,3,2,1,3,1,4,3,4,3,4,3,4,4,4,4,4,2,2,2,3,4,4,4,3,3,4,4,4,2,0,0,0,0,0,0,0,0,2,2,2,3,3,2,4.0,4.0,3.0,3,3.0,4,4,4,2,1,4,4,5,4,2,1,777,2,2,2,0,2,4,4,3,4,5,5,3,3,2
2,2,2,1,1,4,1,2,4,4,2,4,3,4,5,2,2,2,2,3,3,3,2,3,2,2,3,3,4,4,3,2,2,2,2,2,0,2,2,4,999,4,1,999,2,3.0,4.0,4.0,3,3.0,4,2,3,2,2,1,2,4,888,1,2,4,2,2,2,0,2,1,3,1,1,4,3,4,4,2
2,4,4,2,1,3,1,4,1,2,3,4,1,2,5,1,1,3,4,5,5,4,4,2,2,2,4,1,5,4,5,2,2,2,2,2,2,2,2,3,5,2,2,5,2,2.0,4.0,5.0,3,2.0,4,1,3,1,1,2,4,5,5,3,2,888,2,2,2,0,2,1,5,2,3,5,4,3,3,0
2,1,1,2,1,4,1,2,3,3,1,5,1,4,5,4,4,2,4,4,4,4,4,3,3,1,3,3,5,3,5,2,0,2,2,2,2,0,2,5,1,4,5,1,2,2.0,5.0,4.0,3,2.0,3,1,1,1,4,2,4,5,5,4,2,4,0,2,2,0,2,1,4,2,1,5,3,3,4,0
2,4,4,1,2,3,1,3,1,3,2,2,1,2,5,1,4,2,3,3,2,2,4,2,2,1,3,2,3,2,3,2,2,2,2,2,2,2,2,4,4,4,4,4,0,,,2.0,3,2.0,2,2,2,3,3,3,3,3,888,888,2,888,2,2,2,0,2,3,3,3,1,2,2,2,3,0
2,3,3,1,2,3,1,5,2,3,4,3,2,2,5,4,4,2,2,2,2,5,2,4,4,2,3,2,3,4,3,2,2,2,2,2,2,2,2,5,2,4,1,1,2,5.0,5.0,3.0,3,3.0,4,3,4,1,3,3,4,5,4,4,2,777,2,2,2,0,2,1,5,4,4,4,4,4,3,1
2,2,2,1,1,3,1,3,3,1,2,3,2,1,3,4,4,1,2,3,2,5,4,2,4,3,3,2,3,2,3,2,0,2,2,2,2,2,2,3,2,5,5,5,2,2.0,3.0,3.0,2,3.0,2,1,4,2,2,4,2,4,888,1,2,777,2,2,2,0,1,1,3,3,2,4,4,5,4,1
2,4,4,2,1,3,1,3,3,4,2,4,2,4,5,5,4,3,2,5,4,3,4,4,2,3,3,5,4,3,1,2,2,2,2,2,0,0,2,2,4,4,4,4,2,2.0,4.0,4.0,2,4.0,4,4,4,1,1,4,4,4,4,2,2,777,2,2,2,0,2,2,4,4,1,4,4,5,4,2
2,4,4,2,1,3,1,4,1,4,2,4,1,3,4,4,4,4,1,1,4,4,4,4,1,1,2,3,4,3,3,2,0,2,2,2,2,2,2,2,4,5,5,4,2,2.0,4.0,4.0,2,3.0,4,1,4,2,1,3,5,3,5,3,2,777,2,2,2,0,2,1,5,5,2,4,4,5,3,2
2,4,4,2,1,3,1,4,3,3,4,4,2,2,5,4,2,3,1,1,4,1,4,4,4,3,4,3,5,4,2,2,0,2,0,2,0,0,2,1,3,2,2,2,2,4.0,3.0,4.0,2,4.0,4,1,1,1,1,1,3,3,3,3,2,777,2,2,2,0,2,1,1,3,1,3,3,3,1,0
2,2,2,1,1,3,1,3,3,3,2,2,1,3,5,4,3,4,2,1,3,3,4,3,3,2,2,3,4,4,1,0,0,0,0,0,0,2,0,1,4,1,4,4,2,3.0,4.0,2.0,3,2.0,2,1,3,1,1,3,2,4,888,1,2,777,2,2,2,0,1,1,3,3,1,4,3,3,3,1
2,2,2,1,1,3,1,4,2,3,3,3,2,3,5,4,3,4,2,3,3,3,3,4,4,2,3,3,4,4,3,2,0,0,2,2,2,2,2,5,5,4,4,4,2,2.0,4.0,3.0,3,2.0,3,1,3,2,1,3,4,4,4,1,2,777,2,2,2,0,2,3,3,3,3,3,3,4,4,2
2,3,3,2,1,4,1,3,4,3,3,3,1,4,5,4,4,4,2,2,2,4,4,4,4,3,3,4,4,4,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4.0,4.0,3.0,3,3.0,4,3,4,1,1,4,4,4,4,2,0,777,2,2,2,0,2,1,4,3,3,4,4,4,5,2
2,3,3,2,2,3,1,3,4,4,3,3,3,4,5,4,4,3,2,3,3,3,4,3,2,3,3,4,4,4,1,2,0,2,2,0,0,2,0,2,2,2,2,2,0,,,3.0,3,3.0,4,3,4,2,1,4,4,4,4,2,2,777,2,2,2,0,2,2,5,4,4,4,4,4,4,2
2,1,1,1,2,3,1,1,3,5,1,2,2,4,5,2,3,3,1,1,1,5,5,4,5,2,2,1,5,5,4,2,2,2,2,2,2,0,2,2,5,2,1,5,2,3.0,5.0,2.0,2,2.0,3,3,5,4,2,3,5,5,5,5,2,3,0,2,2,2,2,2,3,3,1,5,3,3,4,1
2,4,4,2,2,3,1,3,3,3,3,4,3,3,5,2,4,3,2,2,3,4,3,4,4,3,3,3,3,4,2,0,2,2,2,0,0,0,0,5,5,3,2,5,2,3.0,3.0,4.0,3,2.0,4,3,3,2,1,3,4,4,3,3,2,4,2,2,2,0,2,1,4,4,4,4,3,3,1,2
2,1,1,2,2,3,1,1,1,1,1,4,1,2,5,4,4,5,1,1,1,5,2,4,3,3,1,5,5,4,5,2,2,2,2,2,2,2,2,1,5,1,1,1,0,,,3.0,2,2.0,1,1,1,4,3,1,5,4,888,1,2,777,0,2,2,0,2,1,3,2,1,4,3,888,3,0
2,2,2,1,1,3,1,4,2,4,2,4,1,5,4,5,4,3,4,4,2,3,1,4,2,1,5,1,3,5,4,2,0,2,2,2,0,2,2,2,4,5,5,4,2,3.0,4.0,4.0,2,,4,1,2,1,1,1,4,4,5,4,2,777,2,2,2,0,1,1,2,2,1,4,4,4,4,1
2,2,2,1,1,3,1,3,3,3,2,4,2,3,5,3,4,3,4,4,2,3,4,3,2,2,2,4,4,3,3,2,0,2,2,2,2,2,2,4,4,4,4,4,2,3.0,4.0,2.0,3,2.0,3,2,3,2,2,3,3,3,888,1,2,777,1,2,2,0,2,2,3,2,1,3,2,4,4,1
2,1,1,1,1,4,1,1,3,3,3,3,1,3,5,3,4,3,4,4,4,3,2,3,3,3,3,3,3,4,3,2,2,2,2,2,2,0,2,5,2,1,1,3,2,2.0,5.0,3.0,2,2.0,2,2,2,3,3,2,3,5,5,3,2,777,0,2,2,2,1,1,2,3,1,4,3,888,3,1
2,4,4,2,1,3,1,3,2,2,3,3,3,3,5,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,3,2,2,2,2,2,2,2,2,4,4,3,2,4,2,3.0,3.0,3.0,2,3.0,3,2,3,1,1,3,3,4,4,2,2,777,2,2,2,0,2,1,4,4,3,3,3,3,2,2
2,4,4,2,1,3,1,2,2,3,1,3,3,2,5,3,3,2,3,4,3,3,3,2,1,2,2,4,3,2,2,0,0,0,0,0,2,0,2,4,3,3,3,3,0,,,4.0,3,2.0,3,3,4,2,2,3,3,3,2,4,2,888,2,2,2,0,2,1,4,2,1,3,3,4,3,0
2,2,2,2,1,3,1,4,4,1,3,3,3,2,4,3,3,3,3,1,3,2,1,3,4,3,3,2,3,1,2,2,0,0,2,2,2,0,0,3,2,2,3,2,2,3.0,2.0,2.0,2,2.0,5,1,2,1,1,1,2,3,3,3,2,777,2,2,2,0,1,2,4,3,2,3,2,3,1,1
2,3,3,2,1,4,1,3,3,3,3,3,1,4,5,4,4,3,4,4,2,3,4,3,3,3,3,4,3,4,2,2,0,0,0,0,0,2,0,2,2,2,2,3,2,3.0,3.0,5.0,2,4.0,4,4,4,1,1,4,3,5,4,4,2,777,2,2,2,0,2,1,4,3,3,5,4,3,4,0
2,2,2,2,1,3,1,2,1,3,2,3,1,3,4,4,3,3,4,3,2,2,2,2,2,1,1,3,3,2,5,0,0,0,0,0,0,0,0,3,4,3,2,4,2,3.0,4.0,3.0,3,,1,1,4,1,2,4,2,5,888,1,2,777,1,2,2,0,2,3,4,2,1,3,3,4,4,0
